City,Festivals/Events
Mumbai,Ganesh Chaturthi
Delhi,Diwali
Kolkata,Durga Puja
Chennai,Pongal
Bangalore,Karaga Festival
Hyderabad,Bonalu
Pune,Ganesh Festival
Ahmedabad,Navratri
Jaipur,Teej Festival
Lucknow,Lucknow Mahotsav
Varanasi,Dev Deepavali
Amritsar,Baisakhi
Goa,Carnival
Kochi,Onam
Mysore,Dasara
Udaipur,Mewar Festival
Pushkar,Pushkar Camel Fair
Rishikesh,International Yoga Festival
Guwahati,Bihu
Bhubaneswar,Kali Puja
Thiruvananthapuram,Attukal Pongala
Madurai,Meenakshi Tirukalyanam
Thrissur,Thrissur Pooram
Jodhpur,Marwar Festival
Bikaner,Camel Festival
Srinagar,Tulip Festival
Shimla,Summer Festival
Darjeeling,Tea Festival
Agra,Taj Mahotsav
Haridwar,Kumbh Mela
Nashik,Kumbh Mela
Ujjain,Kumbh Mela
Allahabad,Kumbh Mela
Aurangabad,Ajanta Ellora Festival
Hampi,Hampi Festival
Khajuraho,Khajuraho Dance Festival
Konark,Konark Dance Festival
Mahabalipuram,Dance Festival
Puri,Rath Yatra
Mathura,Holi
Vrindavan,Janmashtami
Amarnath,Amarnath Yatra
Kedarnath,Char Dham Yatra
Badrinath,Char Dham Yatra
Dwarka,Janmashtami
Somnath,Kartik Purnima
Tirupati,Brahmotsavam
Shirdi,Ram Navami
Ajmer,Urs Festival
Velankanni,Mother Mary Festival
