id,title,description,price,image_url,category,vibe_tags,rating,reviews_count,corpus,enhanced_corpus
1,Classic Tweed Blazer with Elbow Patches,"Academic-inspired wool tweed blazer in rich brown with leather elbow patches, structured fit",5499,https://images.unsplash.com/photo-1594633313593-bab3825d0caf?q=80&w=600,blazers,"dark academia, scholarly, tweed, vintage, structured, brown",4.6,342,"Classic Tweed Blazer with Elbow Patches Academic-inspired wool tweed blazer in rich brown with leather elbow patches, structured fit blazers dark academia, scholarly, tweed, vintage, structured, brown","classic tweed blazer with elbow patches academic-inspired wool tweed blazer in rich brown with leather elbow patches, structured fit dark academia, scholarly, tweed, vintage, structured, brown category: blazers premium luxury"
2,Pleated Wool Check Skirt,"High-waisted pleated skirt in burgundy and navy plaid pattern, midi length",3299,https://images.unsplash.com/photo-1595777457583-95e059d581b8?q=80&w=600,skirts,"dark academia, plaid, preppy, burgundy, structured, vintage",4.5,198,"Pleated Wool Check Skirt High-waisted pleated skirt in burgundy and navy plaid pattern, midi length skirts dark academia, plaid, preppy, burgundy, structured, vintage","pleated wool check skirt high-waisted pleated skirt in burgundy and navy plaid pattern, midi length dark academia, plaid, preppy, burgundy, structured, vintage category: skirts premium luxury"
3,Oxford Button-Down Shirt,"Crisp white cotton oxford shirt with mother-of-pearl buttons, classic collar",2199,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?q=80&w=600,shirts,"dark academia, classic, oxford, preppy, white, structured",4.7,445,"Oxford Button-Down Shirt Crisp white cotton oxford shirt with mother-of-pearl buttons, classic collar shirts dark academia, classic, oxford, preppy, white, structured","oxford button-down shirt crisp white cotton oxford shirt with mother-of-pearl buttons, classic collar dark academia, classic, oxford, preppy, white, structured category: shirts mid-range"
4,Vintage Cable Knit Vest,"Cream wool cable knit vest with V-neck, perfect for layering over shirts",2799,https://images.unsplash.com/photo-1576566588028-4147f3842f27?q=80&w=600,knitwear,"dark academia, cable knit, layering, cream, scholarly, vintage",4.4,267,"Vintage Cable Knit Vest Cream wool cable knit vest with V-neck, perfect for layering over shirts knitwear dark academia, cable knit, layering, cream, scholarly, vintage","vintage cable knit vest cream wool cable knit vest with v-neck, perfect for layering over shirts dark academia, cable knit, layering, cream, scholarly, vintage category: knitwear mid-range"
5,Black Turtleneck Sweater,"Fine merino wool turtleneck in classic black, slim fit with long sleeves",3599,https://images.unsplash.com/photo-1564257577817-30d6a7c82633?q=80&w=600,knitwear,"dark academia, minimalist, black, classic, wool, intellectual",4.8,523,"Black Turtleneck Sweater Fine merino wool turtleneck in classic black, slim fit with long sleeves knitwear dark academia, minimalist, black, classic, wool, intellectual","black turtleneck sweater fine merino wool turtleneck in classic black, slim fit with long sleeves dark academia, minimalist, black, classic, wool, intellectual category: knitwear premium luxury"
6,Brown Leather Oxford Shoes,Classic lace-up oxford shoes in rich brown leather with perforated details,7899,https://images.unsplash.com/photo-1549298916-b41d501d3772?q=80&w=600,shoes,"dark academia, oxford, leather, brown, classic, preppy",4.6,189,"Brown Leather Oxford Shoes Classic lace-up oxford shoes in rich brown leather with perforated details shoes dark academia, oxford, leather, brown, classic, preppy","brown leather oxford shoes classic lace-up oxford shoes in rich brown leather with perforated details dark academia, oxford, leather, brown, classic, preppy category: shoes premium luxury"
7,Burgundy Cardigan with Gold Buttons,"Wool cardigan in deep burgundy with vintage gold buttons, ribbed trim",4299,https://images.unsplash.com/photo-1571945153237-4929e783af4a?q=80&w=600,knitwear,"dark academia, burgundy, vintage, gold buttons, scholarly, warm",4.5,234,"Burgundy Cardigan with Gold Buttons Wool cardigan in deep burgundy with vintage gold buttons, ribbed trim knitwear dark academia, burgundy, vintage, gold buttons, scholarly, warm","burgundy cardigan with gold buttons wool cardigan in deep burgundy with vintage gold buttons, ribbed trim dark academia, burgundy, vintage, gold buttons, scholarly, warm category: knitwear premium luxury"
8,Navy Pinstripe Trench Coat,"Long navy trench coat with subtle pinstripes, double-breasted with belt",8999,https://images.unsplash.com/photo-1578662996442-48f60103fc96?q=80&w=600,coats,"dark academia, trench, navy, pinstripe, sophisticated, structured",4.7,156,"Navy Pinstripe Trench Coat Long navy trench coat with subtle pinstripes, double-breasted with belt coats dark academia, trench, navy, pinstripe, sophisticated, structured","navy pinstripe trench coat long navy trench coat with subtle pinstripes, double-breasted with belt dark academia, trench, navy, pinstripe, sophisticated, structured category: coats premium luxury"
9,Forest Green Corduroy Pants,High-waisted wide-leg corduroy trousers in deep forest green,3899,https://images.unsplash.com/photo-1594633312681-ca4c3e4e6a2f?q=80&w=600,pants,"dark academia, corduroy, forest green, vintage, wide leg, academic",4.3,298,"Forest Green Corduroy Pants High-waisted wide-leg corduroy trousers in deep forest green pants dark academia, corduroy, forest green, vintage, wide leg, academic","forest green corduroy pants high-waisted wide-leg corduroy trousers in deep forest green dark academia, corduroy, forest green, vintage, wide leg, academic category: pants premium luxury"
10,Vintage Leather Messenger Bag,Distressed brown leather messenger bag with brass hardware and adjustable strap,5699,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?q=80&w=600,bags,"dark academia, leather, messenger, vintage, brown, academic",4.8,412,"Vintage Leather Messenger Bag Distressed brown leather messenger bag with brass hardware and adjustable strap bags dark academia, leather, messenger, vintage, brown, academic","vintage leather messenger bag distressed brown leather messenger bag with brass hardware and adjustable strap dark academia, leather, messenger, vintage, brown, academic category: bags premium luxury"
