id,title,description,price,image_url,category,vibe_tags,rating,reviews_count
1,Classic Tweed Blazer with Elbow Patches,"Academic-inspired wool tweed blazer in rich brown with leather elbow patches, structured fit",5499,https://plus.unsplash.com/premium_photo-1691622500876-2d32e983b132?w=500&h=500&fit=crop,blazer,"dark academia, scholarly, tweed, vintage, structured, brown",4.6,342
2,Pleated Wool Check Skirt,"High-waisted pleated skirt in burgundy and navy plaid pattern, midi length",3299,https://plus.unsplash.com/premium_photo-1674129670339-554be9059cf4?w=500&h=500&fit=crop,skirts,"dark academia, plaid, preppy, burgundy, structured, vintage",4.5,198
3,Oxford Button-Down Shirt,"Crisp white cotton oxford shirt with mother-of-pearl buttons, classic collar",2199,https://plus.unsplash.com/premium_photo-1661515437892-26ca497e8078?w=500&h=500&fit=crop,shirts,"dark academia, classic, oxford, preppy, white, structured",4.7,445
4,Vintage Cable Knit Vest,"Cream wool cable knit vest with V-neck, perfect for layering over shirts",2799,https://images.unsplash.com/photo-1641839272138-5b4eb047e0c1?w=500&h=500&fit=crop,knitwear,"dark academia, cable knit, layering, cream, scholarly, vintage",4.4,267
5,Black Turtleneck Sweater,"Fine merino wool turtleneck in classic black, slim fit with long sleeves",3599,https://images.unsplash.com/photo-1688685567139-70841b903f18?w=500&h=500&fit=crop,knitwear,"dark academia, minimalist, black, classic, wool, intellectual",4.8,523
6,Brown Leather Oxford Shoes,"Classic lace-up oxford shoes in rich brown leather with perforated details",7899,https://images.unsplash.com/photo-1653868249753-3bfacd3eba04?w=500&h=500&fit=crop,shoes,"dark academia, oxford, leather, brown, classic, preppy",4.6,189
7,Burgundy Cardigan with Gold Buttons,"Wool cardigan in deep burgundy with vintage gold buttons, ribbed trim",4299,https://plus.unsplash.com/premium_photo-1738862175288-1a266163c0f6?w=500&h=500&fit=crop,knitwear,"dark academia, burgundy, vintage, gold buttons, scholarly, warm",4.5,234
8,Navy Pinstripe Trench Coat,"Long navy trench coat with subtle pinstripes, double-breasted with belt",8999,https://images.unsplash.com/photo-1568749367486-bc3b28bcbf63?w=500&h=500&fit=crop,coats,"dark academia, trench, navy, pinstripe, sophisticated, structured",4.7,156
9,Forest Green Corduroy Pants,"High-waisted wide-leg corduroy trousers in deep forest green",3899,https://plus.unsplash.com/premium_photo-1671641798240-4abfa6edbb8b?w=500&h=500&fit=crop,pants,"dark academia, corduroy, forest green, vintage, wide leg, academic",4.3,298
10,Vintage Leather Messenger Bag,"Distressed brown leather messenger bag with brass hardware and adjustable strap",5699,https://plus.unsplash.com/premium_photo-1664353833832-b03ab1a002b0?w=500&h=500&fit=crop,bags,"dark academia, leather, messenger, vintage, brown, academic",4.8,412
11,Floral Smocked Midi Dress,"Flowing midi dress with hand-smocked bodice and delicate rose print on cream background",4599,https://images.unsplash.com/photo-1621428792432-bf1c2b7f8b85?w=500&h=500&fit=crop,dresses,"cottagecore, smocked, floral, cream, romantic, flowing, roses",4.7,324
12,Puff Sleeve Linen Blouse,"Soft white linen blouse with romantic puff sleeves and mother-of-pearl buttons",2899,https://images.unsplash.com/photo-1622116756680-fee39c84f9bd?w=500&h=500&fit=crop,blouses,"cottagecore, puff sleeves, linen, white, romantic, feminine, flowing",4.5,267
13,Gingham Check Sundress,"Sweet A-line sundress in sage green gingham with sweetheart neckline and ties",3199,https://plus.unsplash.com/premium_photo-1664871747922-a6266730ed0c?w=500&h=500&fit=crop,dresses,"cottagecore, gingham, sage green, sundress, sweet, vintage, check",4.6,189
14,Ruffled Prairie Dress,"Long flowing dress with tiered ruffles and lace trim in dusty pink",4899,https://plus.unsplash.com/premium_photo-1664383006412-748ec6ad040c?w=500&h=500&fit=crop,dresses,"cottagecore, prairie, ruffles, dusty pink, romantic, flowing, lace",4.8,445
15,Embroidered Peasant Top,"Cream cotton peasant top with delicate blue and pink floral embroidery",2599,https://plus.unsplash.com/premium_photo-1691622500412-151f9c315b4f?w=500&h=500&fit=crop,tops,"cottagecore, embroidered, peasant, cream, floral, romantic, handmade",4.4,298
16,Flowy Maxi Skirt with Florals,"Chiffon maxi skirt in sage green with watercolor floral print",3799,https://plus.unsplash.com/premium_photo-1671379102281-7225f3d3d97d?w=500&h=500&fit=crop,skirts,"cottagecore, maxi, flowy, sage green, florals, chiffon, romantic",4.3,156
17,Vintage-Style Cardigan in Rose,"Soft pink wool cardigan with pearl buttons and ribbed edges",3899,https://plus.unsplash.com/premium_photo-1673757103441-2571045781d0?w=500&h=500&fit=crop,knitwear,"cottagecore, rose pink, vintage, pearl buttons, soft, romantic",4.7,234
18,Lace-Trimmed Camisole,"Delicate ivory silk camisole with scalloped lace trim and adjustable straps",2199,https://plus.unsplash.com/premium_photo-1671641797375-7fdf17d359c3?w=500&h=500&fit=crop,tops,"cottagecore, lace, ivory, silk, delicate, feminine, romantic",4.5,178
19,Straw Sun Hat with Ribbon,"Wide-brim straw hat with sage green velvet ribbon and bow",1899,https://plus.unsplash.com/premium_photo-1723652585230-d8d11f991e47?w=500&h=500&fit=crop,accessories,"cottagecore, straw hat, sage green, ribbon, sun hat, vintage, whimsical",4.6,267
20,Wicker Basket Bag,"Natural wicker basket bag with leather handles and gingham lining",2499,https://plus.unsplash.com/premium_photo-1689247409718-48408527fe97?w=500&h=500&fit=crop,bags,"cottagecore, wicker, basket, natural, gingham lining, vintage, handmade",4.4,189
21,Black Faux Leather Jacket,"Oversized black faux leather moto jacket with silver zippers and buckles",4599,https://images.unsplash.com/photo-1521223890158-f9f7c3d5d504?w=500&h=500&fit=crop,jackets,"grunge, black leather, oversized, moto, edgy, 90s, alternative",4.7,398
22,Ripped Black Skinny Jeans,"Distressed black denim with strategic rips and faded wash",3299,https://images.unsplash.com/photo-1600785381373-703ca5953d42?w=500&h=500&fit=crop,jeans,"grunge, ripped, black denim, distressed, 90s, alternative, edgy",4.5,445
